X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-19.288, -44.366, 0, -61.528, 166.48, 52, 12, 12, 1
-19.288, -43.866, 0, -61.477, 54.018, 52, 12, 12, 1
-19.288, -43.366, 0, -61.425, -62.486, 52, 12, 12, 1
-19.288, -42.866, 0, -61.374, 176.91, 52, 12, 12, 1
-19.288, -42.366, 0, -61.322, 52.133, 52, 12, 12, 1
-19.288, -41.866, 0, -61.269, -76.877, 52, 12, 12, 1
-19.288, -41.366, 0, -61.217, 149.81, 52, 12, 12, 1
-19.288, -40.866, 0, -61.164, 12.127, 52, 12, 12, 1
-19.288, -40.366, 0, -61.111, -130, 52, 12, 12, 1
-18.788, -44.366, 0, -61.495, -59.238, 52, 12, 12, 1
-18.788, -43.866, 0, -61.443, -167.18, 52, 12, 12, 1
-18.788, -43.366, 0, -61.391, 80.864, 52, 12, 12, 1
-18.788, -42.866, 0, -61.339, -35.164, 52, 12, 12, 1
-18.788, -42.366, 0, -61.287, -155.33, 52, 12, 12, 1
-18.788, -41.866, 0, -61.234, 80.294, 52, 12, 12, 1
-18.788, -41.366, 0, -61.181, -48.354, 52, 12, 12, 1
-18.788, -40.866, 0, -61.128, 178.65, 52, 12, 12, 1
-18.788, -40.366, 0, -61.075, 41.251, 52, 12, 12, 1
-18.288, -44.366, 0, -61.461, 69.88, 52, 12, 12, 1
-18.288, -43.866, 0, -61.409, -33.528, 52, 12, 12, 1
-18.288, -43.366, 0, -61.356, -140.92, 52, 12, 12, 1
-18.288, -42.866, 0, -61.304, 107.65, 52, 12, 12, 1
-18.288, -42.366, 0, -61.251, -7.894, 52, 12, 12, 1
-18.288, -41.866, 0, -61.199, -127.61, 52, 12, 12, 1
-18.288, -41.366, 0, -61.145, 108.42, 52, 12, 12, 1
-18.288, -40.866, 0, -61.092, -19.859, 52, 12, 12, 1
-18.288, -40.366, 0, -61.038, -152.52, 52, 12, 12, 1
-17.788, -44.366, 0, -61.427, -166.24, 52, 12, 12, 1
-17.788, -43.866, 0, -61.375, 94.906, 52, 12, 12, 1
-17.788, -43.366, 0, -61.322, -7.9029, 52, 12, 12, 1
-17.788, -42.866, 0, -61.269, -114.73, 52, 12, 12, 1
-17.788, -42.366, 0, -61.216, 134.37, 52, 12, 12, 1
-17.788, -41.866, 0, -61.163, 19.323, 52, 12, 12, 1
-17.788, -41.366, 0, -61.11, -99.941, 52, 12, 12, 1
-17.788, -40.866, 0, -61.056, 136.51, 52, 12, 12, 1
-17.788, -40.366, 0, -61.002, 8.6085, 52, 12, 12, 1
-17.288, -44.366, 0, -61.393, -47.657, 52, 12, 12, 1
-17.288, -43.866, 0, -61.34, -141.95, 52, 12, 12, 1
-17.288, -43.366, 0, -61.287, 119.83, 52, 12, 12, 1
-17.288, -42.866, 0, -61.234, 17.636, 52, 12, 12, 1
-17.288, -42.366, 0, -61.181, -88.609, 52, 12, 12, 1
-17.288, -41.866, 0, -61.128, 161.03, 52, 12, 12, 1
-17.288, -41.366, 0, -61.074, 46.485, 52, 12, 12, 1
-17.288, -40.866, 0, -61.02, -72.313, 52, 12, 12, 1
-17.288, -40.366, 0, -60.966, 164.56, 52, 12, 12, 1
-16.788, -44.366, 0, -61.359, 65.539, 52, 12, 12, 1
-16.788, -43.866, 0, -61.306, -24.18, 52, 12, 12, 1
-16.788, -43.366, 0, -61.253, -117.79, 52, 12, 12, 1
-16.788, -42.866, 0, -61.2, 144.66, 52, 12, 12, 1
-16.788, -42.366, 0, -61.146, 43.086, 52, 12, 12, 1
-16.788, -41.866, 0, -61.092, -62.57, 52, 12, 12, 1
-16.788, -41.366, 0, -61.038, -172.38, 52, 12, 12, 1
-16.788, -40.866, 0, -60.984, 73.591, 52, 12, 12, 1
-16.788, -40.366, 0, -60.929, -44.732, 52, 12, 12, 1
-19.288, -40.107, 0, -61.084, -5.9465, 52, 12, 12, 1
-19.288, -39.607, 0, -61.03, -154.95, 52, 12, 12, 1
-19.288, -39.107, 0, -60.977, 51.429, 52, 12, 12, 1
-19.288, -38.607, 0, -60.923, -106.89, 52, 12, 12, 1
-19.288, -38.107, 0, -60.869, 90.021, 52, 12, 12, 1
-19.288, -37.607, 0, -60.815, -77.915, 52, 12, 12, 1
-19.288, -37.107, 0, -60.76, 109.22, 52, 12, 12, 1
-19.288, -36.607, 0, -60.706, -68.641, 52, 12, 12, 1
-19.288, -36.107, 0, -60.65, 108.41, 52, 12, 12, 1
-19.288, -35.607, 0, -60.595, -79.701, 52, 12, 12, 1
-19.288, -35.107, 0, -60.54, 86.939, 52, 12, 12, 1
-19.288, -34.607, 0, -60.484, -111.75, 52, 12, 12, 1
-18.788, -40.107, 0, -61.047, 167.76, 52, 12, 12, 1
-18.788, -39.607, 0, -60.994, 23.517, 52, 12, 12, 1
