X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-19.288, -44.366, 0, -52.922, -168.81, 6973, 137, 137, 11
-19.288, -43.866, 0, -58.772, -160.65, 6973, 135, 135, 11
-19.288, -43.366, 0, -50.029, 114.77, 6974, 145, 145, 11
-19.288, -42.866, 0, -56.127, -15.32, 6975, 144, 144, 11
-19.288, -42.366, 0, -52.243, 29.388, 6974, 144, 144, 11
-19.288, -41.866, 0, -61.169, -130.25, 6972, 145, 145, 11
-19.288, -41.366, 0, -50.118, -105.85, 6972, 139, 139, 10
-19.288, -40.866, 0, -50.291, 59.071, 6972, 149, 149, 13
-19.288, -40.366, 0, -53.301, 172.92, 6973, 151, 151, 13
-18.788, -44.366, 0, -48.038, -103.9, 6974, 153, 153, 11
-18.788, -43.866, 0, -53.7, 60.308, 6973, 137, 137, 11
-18.788, -43.366, 0, -46.911, -172.72, 6973, 142, 142, 13
-18.788, -42.866, 0, -55.766, -84.58, 6973, 137, 137, 12
-18.788, -42.366, 0, -47.09, 91.125, 6974, 147, 147, 12
-18.788, -41.866, 0, -57.036, 18.236, 6973, 148, 148, 13
-18.788, -41.366, 0, -50.718, -36.664, 6973, 149, 149, 14
-18.788, -40.866, 0, -51.326, -155.1, 6972, 138, 138, 10
-18.788, -40.366, 0, -59.626, -10.327, 6973, 145, 145, 13
-18.288, -44.366, 0, -55.221, -38.145, 6973, 158, 158, 14
-18.288, -43.866, 0, -58.667, -99.455, 6973, 155, 155, 13
-18.288, -43.366, 0, -54.42, -161.52, 6973, 145, 145, 13
-18.288, -42.866, 0, -59.097, 88.016, 6973, 151, 151, 15
-18.288, -42.366, 0, -50.574, -172.96, 6973, 142, 142, 13
-18.288, -41.866, 0, -54.757, 16.67, 6974, 144, 144, 14
-18.288, -41.366, 0, -49.051, 83.371, 6973, 149, 149, 13
-18.288, -40.866, 0, -49.905, -94.668, 6974, 149, 149, 13
-18.288, -40.366, 0, -51.687, -28.474, 6973, 145, 145, 12
-17.788, -44.366, 0, -49.112, -17.045, 6973, 135, 135, 12
-17.788, -43.866, 0, -63.92, -168.72, 6973, 157, 157, 14
-17.788, -43.366, 0, -51.099, -50.673, 6973, 157, 157, 14
-17.788, -42.866, 0, -55.409, -148.1, 6973, 145, 145, 14
-17.788, -42.366, 0, -48.098, -160.71, 6974, 141, 141, 13
-17.788, -41.866, 0, -54.135, 27.92, 6975, 151, 151, 15
-17.788, -41.366, 0, -49.703, 142.18, 6975, 142, 142, 13
-17.788, -40.866, 0, -55.518, 16.525, 6974, 143, 143, 14
-17.788, -40.366, 0, -54.027, 10.802, 6975, 143, 143, 13
-17.288, -44.366, 0, -53.078, 12.768, 6977, 98, 98, 7
-17.288, -43.866, 0, -51.517, 163.74, 6977, 129, 129, 9
-17.288, -43.366, 0, -46.416, -53.762, 6977, 144, 144, 10
-17.288, -42.866, 0, -58.024, 28.072, 6977, 151, 151, 11
-17.288, -42.366, 0, -51.722, -134.49, 6977, 139, 139, 11
-17.288, -41.866, 0, -53.308, -154.96, 6977, 142, 142, 12
-17.288, -41.366, 0, -53.87, 172.42, 6977, 142, 142, 13
-17.288, -40.866, 0, -48.205, 68.945, 6977, 149, 149, 15
-17.288, -40.366, 0, -52.453, 106.85, 6978, 152, 152, 16
-16.788, -44.366, 0, -53.64, 88.217, 6975, 113, 113, 11
